zeo,osda,MMD
TON,CC(N)CN,0.4082489013671875
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,3.0628395080566406
ETL,C[N+](C)(C)CCO,1.6348562240600586
FER,CCCCN,3.9938549995422363
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,3.64768123626709
AEL,CCNCC,3.407029151916504
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,3.4983043670654297
ITE,C[N+]1(C)CCCCC2CCCCC21,5.146687984466553
AVE,C1CC[N+]2(CC1)CCCC2,4.296804428100586
AEL,CCCCNCCCC,2.5896310806274414
MWW,CCCCCC[N+](C)(C)C,6.232460975646973
MEI,CN(CCO)CCO,5.060391426086426
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,3.7127761840820312
STW,CCc1n(C)cc(C)[n+]1C,0.2826499938964844
GIS,C[N+](C)(C)C,2.3399696350097656
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,2.2469053268432617
JST,NCCN,4.2602338790893555
PWN,C[N+]12CC[N+](C)(CC1)CC2,3.371220588684082
AFI,CN1C2CCC1CC(O)C2,4.420588493347168
DOH,CC1CNCCN1,5.3384904861450195
AWO,CNC,2.963900566101074
STF,CC[N+]1(C)C2CCCC1CCC2,3.9800491333007812
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,2.53597354888916
TON,CCC(C)N,2.3074703216552734
SOD,C1CCC2(C1)CCC[NH2+]2,3.1845521926879883
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,4.197820663452148
AEN,C[N+](C)(C)C,3.3725128173828125
AFI,Fc1cccc(CN2CCCC2)c1,1.558476448059082
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,6.489076614379883
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,4.738964557647705
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,6.015748977661133
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,5.725841045379639
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,2.1403722763061523
MFI,CN(C)CC(C)(C)CN(C)C,4.825835227966309
FER,NC1CCCCC1,2.525972366333008
MTW,N[C@H]1CC[C@H](N)CC1,1.5942726135253906
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,3.1789684295654297
