zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
STI,CC[N+](CC)(CC)CC,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,0.3333333333333333
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.8888888888888888
OFF,C[N+](C)(C)Cc1ccccc1,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556
AFI,CCN(C(C)C)C(C)C,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AEN,CC[N+](CC)(CC)CC,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.6666666666666666
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,1.0
MTW,C1CCC[N+]2(CC1)CCCCC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTW,C1CN2CCN1CC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75
MFI,C1CCNC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0
AST,CC(C)[N+](C)(C)C,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0
NON,CC1CCCN1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571
NON,CC1CCCCN1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,1.0,1.0
ERI,C[N+]1(C)CCCCC1,0.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,0.7142857142857143,1.0,1.0
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.7142857142857143,1.0,0.14285714285714285,0.5714285714285714,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0
CHA,CN(CCO)CCO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.42857142857142855,0.8571428571428571,1.0
CHA,CN1CCNCC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,1.0,1.0,1.0,1.0,0.0,1.0,0.8571428571428571,0.14285714285714285,0.0,1.0,1.0,0.0
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,1.0,0.42857142857142855
FAU,Cc1cccc(C)[n+]1C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.7142857142857143,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,0.2857142857142857
AFI,C1CCCNCC1,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,0.3333333333333333
ITE,C[N+]1(C)CCCCC2CCCCC21,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
CHA,NCCNCCN,0.8333333333333334,0.16666666666666666,1.0,1.0,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.5,0.8333333333333334
MEI,CN(CCO)CCO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334
TON,CC(N)CN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ETL,C[N+](C)(C)CCO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.6666666666666666
AEL,CCNCC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
MFI,CCCNCCC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.5,1.0,0.8333333333333334
MWW,CCCCCC[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FER,CCCCN,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.8333333333333334,1.0,0.8333333333333334
GIS,C[N+](C)(C)C,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.5,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.0,0.0,1.0
STW,CCc1n(C)cc(C)[n+]1C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
AEL,CCCCNCCCC,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.5
AVE,C1CC[N+]2(CC1)CCCC2,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
JST,NCCN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.8,1.0,1.0
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
STF,CC[N+]1(C)C2CCCC1CCC2,0.6,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
TON,CCC(C)N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FER,NC1CCCCC1,0.8,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.2,0.0,0.2,0.2
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MFI,CN(C)CC(C)(C)CN(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6
DOH,CC1CNCCN1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8,0.8
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.0,0.6
AWO,CNC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.4,1.0,0.4
AEN,C[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
AFI,Fc1cccc(CN2CCCC2)c1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.6
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.8
PWN,C[N+]12CC[N+](C)(CC1)CC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOD,C1CCC2(C1)CCC[NH2+]2,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFI,CN1C2CCC1CC(O)C2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.5
SAV,C1CNCCNCCCNCCNC1,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25
MEL,CCCN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
ATS,CCCNCCC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LAU,Cn1ccnc1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
BEA,C[N+](C)(C)Cc1ccccc1,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MOR,CN(C)CCCN(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TON,CCn1cc[n+](CC)c1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25
MTW,N[C@H]1CC[C@H](N)CC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CGS,C1CN2CCC1CC2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DDR,C1CN2CCC1CC2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0
EMT,CC[N+](CC)(CC)CC,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.25,0.75
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RTH,CN1CCCCC1,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RWY,NCCN(CCN)CCN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
MFI,CCCCC[N+]12CCC(CC1)CC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
MFI,CCCC[N+]1(C)CCCC1,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NON,CC1CC[N+](C)(C)CC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ANA,CCCC[N+](CCCC)(CCCC)CCCC,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
