zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
IMF,0.9814814814814815,1.0,1.0,1.0,0.16666666666666666,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0
AEN,1.0,0.54,1.0,1.0,0.98,1.0,1.0,1.0,0.98,0.64,0.98,0.96
STF,0.7560975609756098,1.0,0.8292682926829268,0.8536585365853658,1.0,0.975609756097561,0.975609756097561,0.975609756097561,1.0,0.975609756097561,1.0,0.7560975609756098
MAZ,0.75,1.0,1.0,1.0,1.0,0.925,1.0,1.0,1.0,1.0,1.0,0.975
AEI,0.8055555555555556,1.0,1.0,1.0,1.0,1.0,1.0,0.7222222222222222,1.0,1.0,1.0,0.9722222222222222
GIS,1.0,0.9411764705882353,1.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.3235294117647059,1.0,0.9705882352941176,0.9705882352941176
TON,0.9393939393939394,1.0,0.9696969696969697,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,0.7878787878787878,1.0,0.8787878787878788
ITE,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9666666666666667,0.9333333333333333
NON,1.0,1.0,1.0,1.0,1.0,0.9310344827586207,0.9655172413793104,0.9655172413793104,1.0,0.9655172413793104,0.896551724137931,0.896551724137931
MOR,0.9642857142857143,1.0,1.0,1.0,0.8214285714285714,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0
AST,1.0,0.9629629629629629,0.7407407407407407,1.0,1.0,1.0,0.9629629629629629,1.0,1.0,1.0,0.8518518518518519,0.6666666666666666
PHI,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,0.8518518518518519,1.0,1.0,1.0,1.0,1.0,0.7777777777777778
SAV,1.0,0.7692307692307693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616
UOV,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
ITT,0.8636363636363636,1.0,0.8181818181818182,0.4090909090909091,1.0,1.0,1.0,0.8181818181818182,1.0,1.0,1.0,0.9545454545454546
MTT,0.6190476190476191,1.0,1.0,0.9523809523809523,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.9523809523809523
ITG,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CON,0.7,1.0,1.0,0.5,0.85,1.0,1.0,1.0,1.0,0.85,0.9,0.85
NSI,0.7,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.95,1.0
ERI,1.0,0.8888888888888888,1.0,1.0,1.0,0.6666666666666666,1.0,0.9444444444444444,1.0,0.9444444444444444,1.0,0.6111111111111112
MTN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411765,0.8823529411764706,0.47058823529411764,1.0,0.7058823529411765
MRE,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286
AFR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286
SWY,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0
LAU,1.0,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0
DDR,0.7692307692307693,1.0,1.0,0.6923076923076923,1.0,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.9230769230769231
AFX,0.9166666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
UFI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091
ISV,1.0,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091
ANA,0.8,1.0,1.0,1.0,0.4,1.0,0.9,1.0,1.0,0.8,1.0,1.0
CLO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.6,0.5
OFF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STI,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.3333333333333333
CTH,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778
SFS,1.0,1.0,0.875,0.125,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.625
AWO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,1.0
DOH,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0
SOD,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,0.7142857142857143,1.0,1.0,1.0
