zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
AEN,0.0,0.2,0.0,0.0,0.98,1.0,1.0,1.0,0.36,0.1,0.06,0.72
STF,0.0,0.5121951219512195,0.6097560975609756,0.7560975609756098,1.0,0.975609756097561,0.6829268292682927,0.9512195121951219,0.34146341463414637,0.1951219512195122,0.34146341463414637,0.14634146341463414
MAZ,0.175,0.95,1.0,1.0,0.075,0.825,0.0,1.0,0.0,0.0,0.05,0.475
AEI,0.4166666666666667,0.0,1.0,1.0,0.08333333333333333,1.0,0.3611111111111111,0.7222222222222222,0.05555555555555555,0.1388888888888889,0.5833333333333334,0.1388888888888889
GIS,0.0,0.8235294117647058,0.7352941176470589,0.7352941176470589,0.9117647058823529,0.9705882352941176,0.8235294117647058,0.38235294117647056,0.08823529411764706,0.6470588235294118,0.7058823529411765,0.058823529411764705
TON,0.15151515151515152,0.6363636363636364,0.9393939393939394,0.9696969696969697,0.6666666666666666,0.6363636363636364,0.6060606060606061,0.9090909090909091,0.42424242424242425,0.5151515151515151,0.6666666666666666,0.5151515151515151
ITE,0.2,0.9333333333333333,1.0,0.9333333333333333,0.16666666666666666,1.0,0.16666666666666666,1.0,0.6,0.23333333333333334,0.16666666666666666,0.0
NON,0.034482758620689655,0.034482758620689655,0.3448275862068966,0.3448275862068966,0.9655172413793104,0.9310344827586207,0.8620689655172413,0.7586206896551724,0.034482758620689655,0.06896551724137931,0.20689655172413793,0.034482758620689655
MOR,0.5357142857142857,1.0,1.0,1.0,0.14285714285714285,0.9642857142857143,0.5357142857142857,1.0,0.2857142857142857,0.14285714285714285,0.6428571428571429,0.03571428571428571
AST,0.0,0.07407407407407407,0.1111111111111111,0.37037037037037035,1.0,1.0,0.9629629629629629,0.5925925925925926,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.0
PHI,0.037037037037037035,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.037037037037037035,0.5555555555555556,0.07407407407407407,1.0,0.8518518518518519,0.037037037037037035,0.0,0.37037037037037035
SAV,0.0,0.23076923076923078,0.8461538461538461,0.8461538461538461,1.0,1.0,1.0,0.6923076923076923,0.0,0.038461538461538464,0.0,0.038461538461538464
UOV,0.0,0.0,0.0,1.0,1.0,1.0,0.4583333333333333,1.0,0.20833333333333334,0.0,0.0,0.0
ITT,0.0,0.4090909090909091,0.0,0.4090909090909091,1.0,1.0,0.18181818181818182,0.8181818181818182,0.0,0.9545454545454546,0.0,0.0
MTT,0.23809523809523808,0.6190476190476191,0.8095238095238095,0.7619047619047619,0.9047619047619048,0.6190476190476191,0.5238095238095238,1.0,0.047619047619047616,0.047619047619047616,0.8571428571428571,0.0
ITG,0.0,0.0,0.0,0.38095238095238093,1.0,1.0,0.0,1.0,0.7142857142857143,0.0,0.0,0.0
CON,0.0,0.0,0.95,0.1,0.15,1.0,0.5,0.9,0.05,0.5,0.2,0.0
NSI,0.25,0.6,0.85,0.85,0.95,1.0,0.95,1.0,0.55,0.25,0.0,0.5
ERI,0.0,0.8333333333333334,0.7222222222222222,0.7222222222222222,1.0,0.4444444444444444,0.3888888888888889,0.9444444444444444,0.3888888888888889,0.0,0.3888888888888889,0.1111111111111111
MTN,1.0,0.23529411764705882,1.0,1.0,0.9411764705882353,1.0,0.0,0.7058823529411765,0.23529411764705882,0.23529411764705882,0.0,0.0
MRE,0.8571428571428571,0.21428571428571427,1.0,0.9285714285714286,0.9285714285714286,0.5714285714285714,0.9285714285714286,1.0,0.0,0.8571428571428571,0.6428571428571429,0.35714285714285715
AFR,0.0,0.0,0.35714285714285715,0.35714285714285715,1.0,1.0,1.0,1.0,0.5,0.0,0.07142857142857142,0.0
SWY,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
LAU,0.0,0.0,0.38461538461538464,0.38461538461538464,1.0,1.0,1.0,1.0,0.0,0.0,0.5384615384615384,0.0
DDR,0.0,0.0,1.0,0.6923076923076923,0.46153846153846156,1.0,0.38461538461538464,1.0,0.0,0.6153846153846154,0.0,0.23076923076923078
AFX,0.0,0.08333333333333333,0.25,0.25,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.25
UFI,0.0,1.0,1.0,1.0,0.6363636363636364,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ISV,0.0,0.0,0.9090909090909091,0.9090909090909091,1.0,1.0,0.36363636363636365,0.7272727272727273,0.36363636363636365,0.0,0.0,0.0
ANA,0.0,1.0,1.0,1.0,0.2,1.0,0.1,1.0,0.6,0.3,0.0,0.0
CLO,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.2
OFF,0.2222222222222222,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
STI,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111
CTH,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SFS,0.0,0.0,0.875,0.0,0.125,1.0,0.125,1.0,0.0,0.0,0.0,0.0
AWO,0.0,0.125,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.125,0.0,0.375
DOH,0.0,0.0,0.14285714285714285,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.0
SOD,0.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.0,0.14285714285714285,0.0
STW,0.0,0.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
UOZ,0.16666666666666666,0.0,0.0,0.8333333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MEI,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ETL,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
AVE,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SZR,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,1.0,0.6666666666666666
JST,0.0,0.6,0.0,0.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0
IFR,0.6,1.0,1.0,1.0,0.8,0.4,0.0,1.0,0.0,0.6,0.4,0.0
IFW,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.8,0.0,1.0,1.0,0.0
CGS,0.0,0.0,0.8,0.8,1.0,1.0,1.0,1.0,0.0,0.2,0.8,0.8
PWN,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ATS,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
