zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,CC(C)NC(C)C,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.16666666666666666
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ITE,NCCNCCNCCNCCNCCN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,1.0,1.0,0.36363636363636365,0.7272727272727273,0.8181818181818182,0.09090909090909091,0.0,0.0
UFI,CC[N+](CC)(CC)CC,0.0,1.0,0.0,0.0,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.2,0.0,0.2,0.0,0.1
CLO,C1CN2CCC1CC2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.0,0.3,1.0,0.0,0.7,0.0,0.4,0.7,0.0,0.1,0.0,0.0
AFI,[CH]1C=CC=C1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1,0.0,0.0
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.1,1.0,0.0,0.0,0.4,0.8,0.0,1.0,0.0,0.0,0.0,0.0
LAU,c1c[nH]cn1,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
LEV,CC[N+](C)(C)CC,0.5555555555555556,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,1.0,0.5555555555555556,1.0,0.2222222222222222,0.0,0.0,0.1111111111111111
OFF,C[N+](C)(C)Cc1ccccc1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
FER,NCCCCN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.2222222222222222,0.8888888888888888,0.0,0.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.8888888888888888,0.1111111111111111,0.0,0.1111111111111111
STI,CC[N+](CC)(CC)CC,0.0,0.0,0.1111111111111111,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
