Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,zeo,osda,Al/Si,Al,Si,Ge/Si,Ge,B/Si,B,Na,Na/Si,K,K/Si,OH,OH/Si,F,F/Si,H2O,H2O/Si,sda1,sda1/Si
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,1.0,15.0,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,1.0,1.0,15.0,15.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.1,0.0,0.5,3.0,0.5,175.0,336.0,BEA,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.5,0.5,3.0,3.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.5,3.0,0.5,175.0,336.0,BEA/BEC,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.5,0.5,3.0,3.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.1,0.0,0.5,7.25,0.5,175.0,336.0,BEA/BEC,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.5,0.5,7.25,7.25,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.5,7.25,0.5,175.0,336.0,BEC,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.5,0.5,7.25,7.25,0.5,0.5
0.25000003,0.33333334,99.0,250.0,0.0,0.0,0.0,0.18823536,0.0,0.0,150.0,2.0,AEL,CCn1cc[n+](C)c1,3.999999523162842,3.999999523162842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941176697261163,0.941176697261163,0.0,0.0,0.0,0.0
400.0,0.0,99.0,250.0,0.15,0.0,0.35,0.0,0.0,0.1,150.0,120.0,MSE,CC[N+]1(CC)C[C@H]2C3C=CC([C@@H]4C[N+](CC)(CC)C[C@H]34)[C@H]2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.15000000596046448,0.0,0.0,0.3499999940395355,0.3499999940395355,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612
100.0,1.7179967,99.0,4.0000005,0.15873016,0.0,0.0,0.0,79.36506,0.39682546,170.0,168.0,RTH,CN1C(C)(C)CCCC1(C)C,0.009999999776482582,0.009999999776482582,1.0,0.0,0.0,0.2499999701976776,0.2499999701976776,0.20000000208852767,0.20000000208852767,0.0,0.0,0.0,0.0,0.0,0.0,99.99997182964394,99.99997182964394,0.5000000709354384,0.5000000709354384
400.0,0.0,99.0,4.0000005,0.16000003,0.0,0.0,0.0,80.0,0.4,170.0,168.0,RTH,CN1C(C)(C)CCCC1(C)C,0.0,0.0,1.0,0.0,0.0,0.2499999701976776,0.2499999701976776,0.20000002801418226,0.20000002801418226,0.0,0.0,0.0,0.0,0.0,0.0,99.99999761581421,99.99999761581421,0.49999999552965146,0.49999999552965146
400.0,0.0,99.0,4.0000005,0.15873016,0.0,0.0,0.0,79.36506,0.39682546,170.0,168.0,RTH,CN1C(C)(C)CCCC1(C)C,0.0,0.0,1.0,0.0,0.0,0.2499999701976776,0.2499999701976776,0.19841270048230397,0.19841270048230397,0.0,0.0,0.0,0.0,0.0,0.0,99.20632125839415,99.20632125839415,0.4960318163983386,0.4960318163983386
400.0,0.0,2.0,250.0,0.0,0.0,0.0,0.1,3.0,0.25,175.0,24.0,IRR,C[C@H]1CCC[C@@H](C)[N+]12Cc1ccccc1C2,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000223517418,0.15000000223517418,4.5,4.5,0.375,0.375
