PCA 1,PCA 2
-0.2727570087365229,-0.30179192783371733
-0.2869791257182597,-0.30424799676478304
-0.14671140623323592,-0.4429600202982185
-0.3218597780957986,0.19459941126839153
-0.168052430161733,0.44925064179180474
-0.33624525335547906,-0.005536766767508765
-0.2957846671127174,-0.03969254837659843
-0.3291783565732327,-0.5781672607004829
-0.2996311833548114,-0.27697440823930053
-0.440248994335535,-0.10884374307347126
-0.40489208764254797,-0.3393712693489503
-0.39467781579484956,-0.2156507729881054
-0.2714234987659989,0.6304263431301151
-0.1520789756138272,0.41650277374858025
-0.15086780236671604,0.41770893209668447
-0.14965662911960495,0.4189150904447887
-0.14844545587249378,0.420121248792893
-0.14723428262538257,0.4213274071409972
-0.03195485852447766,-0.8425422384785543
0.009467289850152253,-0.8476229812448772
0.00950375538442871,-0.7404476365254613
-0.022327625696937133,-0.7387436350027001
-0.14082987543678568,0.3920307153573242
-0.33439910413842305,0.18568717624723324
-0.06008571803891299,-0.652083452095647
-0.1761206261394752,0.1197624698306767
-0.18214774610783016,0.11190324336834237
-0.18208558434585012,0.11198430088292048
-0.1768182330893777,0.10274461779282645
-0.1817657722371269,0.0962931400061583
-0.1816143266794777,0.09649062154635143
-0.17725627619045692,0.07174726600827187
-0.18083684199640226,0.06707829016575262
-0.18087176146922274,0.06703275597259195
-0.36212805918719465,-0.5394545164313139
-0.13123420359619578,-0.0747239686347461
-0.24282691496286588,0.025730422710586093
-0.29045961959343025,0.062386057038155
-0.16546783162336598,-0.5179585368140115
-0.3738184381409437,0.2560982863289058
-0.3296165549181659,0.3043927090920652
-0.32418172378498783,0.32386244347229665
-0.3296165549181659,0.3043927090920652
-0.2717710416326215,0.26511183776191305
0.09872339724299638,0.6940765794283218
-0.24044227347966218,0.2466840627221522
-0.24528696646810685,0.24185942932973511
0.18384472509913258,0.01984581951445124
-0.13160172361607997,0.528023660590389
-0.15960301057088286,-0.13752499371346638
-0.3474552842507917,0.20034273024383759
-0.14873315120238076,-0.12514957668480925
-0.057327198742000415,-0.37466112758115416
-0.057327198742000415,-0.37466112758115416
-0.1057741286264467,-0.42290746150532443
-0.019969252181668905,-0.06848799559613432
-0.019969252181668905,-0.06848799559613432
-0.019969252181668905,-0.06848799559613432
-0.019969252181668905,-0.06848799559613432
1.362859660887748,0.6549046151475895
1.811501539211122,0.6120357597733987
1.2566129246570303,0.5208776822300895
1.34153911417395,0.6431483099585338
1.7315801184344923,0.8830781697413519
1.3011262667612384,0.6402556657568366
1.3035486132554606,0.642667982453045
1.2696357623363481,0.6088955487061258
2.399821416961647,0.6383308412869584
1.5538271160305905,0.6636475171659878
1.2100587236319351,0.6621990977156745
1.5363287944723656,0.6592298752096882
0.7096111733664854,0.8170363551336856
0.6645152084889576,0.777868719658432
3.303192657485522,2.147793927756744
1.788904866485081,2.287327169897377
1.184460851006584,2.346064937145036
2.6164756332732573,1.2523306489168535
1.433564397218031,1.3512180264528852
0.8291211421879428,1.4099562076517536
0.5268994778657267,1.4393245427280328
2.2436647036053086,0.7661937312384905
1.2264403229060852,0.8447583509056814
0.621998766504218,0.9034958165288145
0.31977714169629845,0.9328646539843779
0.13844422103102008,0.9504859494868094
0.017555598120108616,0.9622334806750638
2.057259238771335,0.5231252723993086
1.1228819200481035,0.5915280673576818
0.518437479909787,0.6502658866931089
0.21621581559862837,0.6796347289940459
0.03488305294630602,0.6972560051149816
-0.08600556502670058,0.7090035356975645
1.9640565507968741,0.4015911009317544
1.0711015384612288,0.4649131337423091
0.46665678229699964,0.5236509918407273
0.16443499947612403,0.553019848677786
-0.016897506405144522,0.5706410933037913
-0.13778611450234132,0.5823886226750308
3.3177267364508554,2.162267827933995
1.8034389454504145,2.3018010700746285
1.1989949299719176,2.360538837322286
2.631009712238591,1.266804549094105
1.4480984761833644,1.3656919266301366
0.8436552211532764,1.4244301078290047
0.5414335568310606,1.4537984429052844
2.2581987825706435,0.7806676314157419
1.2409744018714186,0.8592322510829322
0.636532845469552,0.917969716706066
0.3343112206616324,0.9473385541616292
0.15297829999635398,0.9649598496640606
0.03208967708544251,0.9767073808523153
2.0717933177366694,0.5375991725765599
1.1374159990134374,0.606001967534933
0.5329715588751207,0.6647397868703602
0.2307498945639622,0.6941086291712971
0.04941713191163993,0.7117299052922329
-0.0714714860613667,0.7234774358748156
1.9785906297622082,0.41606500110900557
1.0856356174265622,0.47938703391956033
0.4811908612623337,0.5381248920179783
0.17896907844145793,0.5674937488550372
-0.0023634274398106276,0.5851149934810426
-0.12325203553700746,0.5968625228522818
3.3369036461967823,2.181365335112313
1.8226158551963407,2.320898577252946
1.2181718397178438,2.379636344500604
2.650186621984518,1.2859020562724224
1.4672753859292915,1.3847894338084539
0.8628321308992031,1.4435276150073222
0.5606104665769873,1.4728959500836019
2.27737569231657,0.7997651385940592
1.2601513116173453,0.8783297582612499
0.6557097552154786,0.9370672238843831
0.35348813040755905,0.9664360613399465
0.17215520974228063,0.984057356842378
0.05126658683136916,0.995804888030632
2.090970227482596,0.5566966797548774
1.156592908759364,0.6250994747132503
0.5521484686210473,0.6838372940486774
0.24992680430988873,0.7132061363496145
0.06859404165756658,0.7308274124705505
-0.05229457631544004,0.7425749430531331
1.9977675395081353,0.4351625082873233
1.1048125271724891,0.4984845410978777
