zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
AEI,0.8055555555555556,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,0.9722222222222222
GIS,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,0.9117647058823529,0.4117647058823529,0.38235294117647056,1.0,0.9705882352941176,0.9411764705882353
TON,0.9393939393939394,1.0,0.9696969696969697,1.0,1.0,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,0.9393939393939394
ITE,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9
NON,1.0,1.0,1.0,1.0,1.0,0.9310344827586207,0.9655172413793104,1.0,1.0,1.0,0.9655172413793104,0.9310344827586207
MOR,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0
AST,1.0,0.5555555555555556,0.7777777777777778,1.0,1.0,1.0,0.9629629629629629,1.0,1.0,1.0,0.9629629629629629,0.9629629629629629
PHI,1.0,0.9629629629629629,1.0,1.0,1.0,0.5925925925925926,1.0,1.0,1.0,1.0,1.0,0.7777777777777778
SAV,1.0,0.6538461538461539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.9615384615384616
UOV,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.4583333333333333,1.0,1.0,0.9166666666666666,1.0,0.5
ITT,0.7727272727272727,1.0,0.8181818181818182,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9545454545454546
MTT,0.8571428571428571,1.0,1.0,0.9523809523809523,1.0,0.6190476190476191,1.0,1.0,1.0,1.0,1.0,0.7142857142857143
ITG,0.6190476190476191,1.0,0.8095238095238095,0.38095238095238093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CON,0.75,1.0,1.0,0.3,0.85,1.0,1.0,1.0,0.8,0.85,0.9,0.8
NSI,0.65,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.7,0.4,1.0
