,Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,APD,-0.058996268,-0.009278838,-0.09779999,-0.36381626,-0.26285118,0.025233772,-0.2532213,0.17780477,-0.18746144,-0.059631426,-0.011349198,0.06282552,-0.054092485,0.0039456803,0.07014949,-0.036652707,-0.078336306,-0.24097458,0.41219735,-0.25581762,0.17834088,-0.259567,-0.2720972,-0.41919026,0.09543755,0.3966376,0.07947937,-0.023010284,-0.24216115,-0.13716927,-0.12382861,0.01889829,-0.12611903,-0.2170567,0.029482696,-0.276148,0.14410388,0.14721777,0.10911162,-0.11673382,-0.032098856,-0.023046773,0.16254298,0.34983167,-0.014636356,-0.04266289,-0.31868407,-0.113042355,0.15983877,0.23205154,-0.089190535,-0.1642051,0.16043174,0.34653202,-0.03889057,0.07475295,-0.17682524,0.28792623,-0.024416905,0.029764181,-0.12895839,0.05417743,-0.1075228,0.018285777
21,AST,-0.024903197,0.0071197776,-0.074845344,-0.29007345,-0.22015937,0.025888534,-0.19332586,0.11058584,-0.15879004,-0.04862473,-0.001523793,0.04597192,-0.0037134585,-0.009583288,0.0648944,-0.033937372,-0.06487001,-0.15968503,0.30343413,-0.21050148,0.1445206,-0.19335128,-0.20614018,-0.30953416,0.04313988,0.30340803,0.0551354,-0.0012021472,-0.16516142,-0.12119334,-0.10634635,0.012362021,-0.089763686,-0.16262977,0.018836385,-0.18503448,0.10632604,0.12002219,0.07042523,-0.08175151,-0.008325048,-0.022921378,0.08909906,0.24377175,0.0076898388,-0.018567652,-0.22243498,-0.068440296,0.1073334,0.16698955,-0.056011345,-0.115424104,0.10609148,0.26395017,-0.06452941,0.0688777,-0.14019886,0.21214566,-0.004282119,0.05916914,-0.10408891,0.05658592,-0.082345426,0.010203165
22,ASV,0.07567725,-0.064532705,-0.026439797,-0.6046033,-0.07501694,-0.017939692,-0.363852,0.48547378,-0.2277123,0.010294163,0.20743957,0.15962471,-0.3982786,-0.06665859,0.08255434,-0.37815598,-0.20279746,-0.1225777,0.37681082,-0.14781363,0.5361556,-0.4982825,-0.63090223,-0.3879834,-0.04846681,0.3616378,0.6653931,0.1359675,-0.62490064,0.18575752,-0.14868581,-0.060821954,0.0730773,-0.06749199,-0.10822296,-0.22497658,0.0590541,0.29085195,-0.16218485,-0.3237445,0.1626242,0.3885212,0.33205897,0.3719516,0.07892214,-0.068660736,-0.5994483,-0.26797783,-0.060679387,0.17037205,0.050289996,-0.6727644,0.3006806,0.5447621,0.26448908,0.2731849,-0.47526258,0.34816036,-0.5352314,0.22358926,0.03804284,-0.22519684,-0.13547792,-0.11030715
23,ATN,-0.012247902,-0.016128642,0.008088379,-0.09517607,-0.052112237,0.01889295,-0.045194764,0.070578136,-0.060494702,-0.02897422,0.004068457,0.02384142,-0.04982638,0.010666661,0.035673477,-0.023528988,-0.037683997,-0.035019733,0.08535872,-0.08531666,0.03583873,-0.06544734,-0.10027678,-0.124627486,0.0028445458,0.06019918,0.06263402,0.0016333167,-0.10833768,-0.021842739,-0.023291802,0.007961073,-0.022344481,-0.025665527,0.018559787,-0.083478495,0.03509497,0.048107937,0.043328054,-0.04934905,-0.0078113265,-0.008983398,0.05656551,0.10737431,0.005169186,0.0051078573,-0.11698497,-0.034097675,0.02801052,0.041661628,-0.020177303,-0.07874144,0.072819605,0.09045933,-3.3544275e-05,0.020942613,-0.059102777,0.08679527,-0.036907494,-0.0032400747,-0.033552814,-0.0059533054,-0.036929052,0.0043503502
24,ATO,-0.08043745,0.018308265,-0.1411436,-0.849999,-0.7099275,0.17072107,-0.6003402,0.36000156,-0.61584306,-0.26813418,0.028452003,0.17727442,-0.22253805,0.09742269,0.24094716,-0.08793434,-0.2684236,-0.42732617,0.8511763,-0.6813516,0.3991571,-0.55047244,-0.7578622,-0.99924314,0.10576347,0.82434624,0.35819376,0.06307269,-0.67293644,-0.3234941,-0.37045223,0.05084115,-0.23297541,-0.35404506,0.18613398,-0.633219,0.3898071,0.38773447,0.2176986,-0.2841731,-0.067608684,-0.16587977,0.27617478,0.8654469,0.053187553,-0.0065448233,-0.79697627,-0.17296997,0.21320356,0.42587703,-0.1568887,-0.5474994,0.42793036,0.90878123,-0.20635888,0.15627702,-0.443172,0.60009664,-0.09879396,0.12409652,-0.2730569,0.115041405,-0.34607354,-0.030384606
25,ATS,-0.027900528,-0.0026259162,-0.04300838,-0.26913574,-0.17073874,0.017897982,-0.13112366,0.14784308,-0.15862823,-0.048326485,0.0053800493,0.059268907,-0.037501853,0.006836747,0.090955205,-0.039386727,-0.07077648,-0.10347668,0.24374843,-0.18464081,0.11116755,-0.1760638,-0.23087463,-0.27034956,-0.0020202096,0.22283512,0.07746342,0.009420797,-0.18723014,-0.08958123,-0.062232263,0.009567642,-0.06638064,-0.11441128,0.02093132,-0.18423533,0.066662684,0.11405415,0.075883135,-0.109679244,-0.01687308,-0.029779311,0.10900598,0.1952062,0.027255489,0.016248977,-0.21283296,-0.040777456,0.10149148,0.12831718,-0.045790378,-0.12123535,0.11084453,0.21513806,-0.045179818,0.077482626,-0.13875358,0.21868774,-0.035491202,0.061790556,-0.10020353,0.035135932,-0.06696818,-0.0005879759
26,ATT,0.028706644,0.0054238164,-0.010909353,-0.23510092,-0.19211505,0.022340352,-0.18135944,0.024782207,-0.13335373,-0.058118656,0.078234196,0.026847722,-0.08856797,-0.015610978,0.052293833,-0.076111086,-0.06842845,-0.119582064,0.21317777,-0.19143392,0.15026262,-0.15532255,-0.19931988,-0.24928434,0.013503333,0.21340705,0.122015454,0.009338105,-0.19890958,-0.036945187,-0.16519699,0.018063081,-0.07556221,-0.04482009,0.057734452,-0.12588076,0.12435759,0.10800961,-0.014833585,-0.015523454,0.04657874,0.004297376,0.0373538,0.21521185,0.019503944,-0.027719378,-0.25458378,-0.08969135,-0.021167269,0.10199188,-0.013249565,-0.18171315,0.13931026,0.27691332,-0.012957903,0.03527571,-0.1429289,0.115891784,-0.06820644,0.034781676,-0.026989346,-0.023071403,-0.079458125,-0.033495232
27,ATV,-0.053083476,0.0071136826,-0.0803414,-0.29115945,-0.22813176,0.024574254,-0.19861913,0.12888134,-0.17217718,-0.054730795,-0.0076921796,0.053729575,-0.03667129,0.012904716,0.07229496,-0.017498935,-0.06341542,-0.18814388,0.3282164,-0.21361421,0.12802798,-0.1990137,-0.22507882,-0.3369723,0.06608589,0.31848198,0.054387894,-0.013508653,-0.18493196,-0.12445384,-0.09987436,0.020408219,-0.09787247,-0.1713065,0.035892677,-0.22604837,0.11749842,0.12254378,0.09122009,-0.09171811,-0.033556323,-0.042542536,0.117688134,0.2737975,-0.0061013564,-0.0225657,-0.24676736,-0.0642241,0.12572886,0.18103245,-0.07687611,-0.11858657,0.12048147,0.28333274,-0.055377916,0.058173947,-0.13738245,0.23268029,0.0043010633,0.03342251,-0.11039174,0.057865985,-0.0858765,0.011956288
28,AVE,-0.0030113545,-0.003185758,-0.083465554,-0.77185845,-0.5919311,0.08173325,-0.6168116,0.23007287,-0.42632544,-0.19304185,0.14095415,0.099262506,-0.34786004,0.0009828252,0.1383472,-0.17002559,-0.217053,-0.4553999,0.8052568,-0.5899605,0.4675974,-0.5419459,-0.6424046,-0.9068316,0.15762171,0.7353923,0.39327848,-0.017799852,-0.6640534,-0.16877913,-0.4537825,0.060163256,-0.2553079,-0.25391656,0.13273679,-0.5090371,0.3912954,0.35715902,0.07777897,-0.14636864,0.034541734,-0.016585434,0.2657209,0.8134944,0.012423555,-0.08198222,-0.82309294,-0.29780778,0.09244812,0.4025535,-0.14762789,-0.5554202,0.46090287,0.896011,-0.0006736928,0.11745115,-0.4204325,0.486391,-0.21078198,0.05992575,-0.14093255,-0.031415354,-0.30839825,-0.042994242
29,AVL,0.20194797,-0.09982525,-0.0009118519,-0.8915165,-0.4178825,0.048385885,-0.74647427,0.30524406,-0.23472163,-0.09796023,0.25659254,0.035301656,-0.45008838,-0.23236987,-0.020437384,-0.454821,-0.2715148,-0.38895032,0.8154607,-0.5441182,0.84102243,-0.7045591,-0.634681,-0.89609843,0.13410847,0.70791566,0.7336831,0.0059961174,-0.8173237,0.0366552,-0.5642964,-0.0056022615,-0.18724173,-0.21220689,-0.10909425,-0.28096455,0.35153762,0.43136874,-0.11910792,-0.15611076,0.26613054,0.4111826,0.3033972,0.868472,0.05591117,-0.15271023,-0.9621039,-0.61083686,-0.060743865,0.39026082,-0.04638333,-0.8417879,0.5565389,0.95818454,0.26352605,0.23881203,-0.57971954,0.45446175,-0.5932406,0.15328164,-0.0013717132,-0.25171936,-0.3664423,-0.040495038
30,AWO,0.2201467,-0.20303224,0.14273962,-0.57389534,0.12890354,0.11333866,-0.25287405,0.7238165,-0.1925145,-0.047513586,0.0427195,0.15146594,-0.33132488,-0.10505189,0.032419384,-0.4789507,-0.33657798,0.2551332,0.1579398,-0.1972083,0.56398445,-0.43793386,-0.5721508,-0.33953145,-0.17066531,0.0052528414,0.9141372,0.24725538,-0.6926678,0.18819557,0.018306796,-0.12710537,0.2455081,-0.024634294,-0.2895499,-0.032166056,-0.060720593,0.28488183,-0.018940194,-0.52308893,0.1628504,0.4894142,0.34931007,0.3928731,0.17752136,0.04981718,-0.4851558,-0.3455161,-0.047684602,0.022396486,0.10001013,-0.77279735,0.32769036,0.31503907,0.24806012,0.37088314,-0.48500985,0.35300884,-0.75634986,0.30700663,-0.02322402,-0.22546197,-0.27811792,0.004477474
