,cbu
SAF,"['afi', 'bog', 'nsc']"
JRY,['bog']
CTH,"['d4r', 'non', 'cas']"
PCS,"['non', 'mor', 'mso', 'pcr']"
BEB,[]
EWO,"['mtt', 'mso', 'ton']"
PTY,['bre']
ETV,"['mei', 'bre']"
UWY,"['d4r', 'stf', 'lau']"
IWV,"['d4r', 'cas', 'non', 'ton']"
PTT,"['d6r', 'sod', 'lev']"
PTO,[]
ANO,"['d6r', 'can', 'gme', 'ave', 'eab']"
ZEO-1,"['mor', 'sti', 'bea', 'mel', 'mtw']"
RSN,"['lov', 'vsv']"
DOH,"['mtn', 'doh']"
DDR,"['ddr', 'mtn']"
AFO,"['afi', 'bog', 'nsc']"
YFI,"['mor', 'mtt', 'mel', 'mtw', 'd8r']"
PSI,"['afi', 'bog', 'nsc']"
DON,"['afi', 'mel', 'dcc']"
SYT,"['d4r', 'clo']"
