zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
AEN,1.0,0.62,1.0,1.0,0.98,1.0,1.0,1.0,0.98,0.64,0.98,0.94
STF,0.8536585365853658,1.0,0.8536585365853658,0.8536585365853658,1.0,0.975609756097561,0.9024390243902439,0.975609756097561,1.0,0.975609756097561,0.975609756097561,0.8048780487804879
MAZ,0.25,1.0,1.0,1.0,0.875,0.825,1.0,1.0,1.0,1.0,1.0,0.7
AEI,0.7222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.7222222222222222,1.0,1.0,1.0,0.9722222222222222
GIS,1.0,0.9117647058823529,1.0,1.0,0.9411764705882353,1.0,1.0,0.9411764705882353,0.3235294117647059,0.9411764705882353,0.9117647058823529,0.9117647058823529
TON,0.9090909090909091,1.0,0.9696969696969697,1.0,1.0,0.7272727272727273,1.0,1.0,1.0,0.9393939393939394,1.0,0.9090909090909091
ITE,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,1.0,0.6333333333333333,1.0,1.0,1.0,0.9666666666666667,0.5666666666666667
NON,1.0,1.0,1.0,1.0,1.0,0.9310344827586207,0.9655172413793104,1.0,1.0,0.9655172413793104,0.7931034482758621,0.9310344827586207
MOR,0.9642857142857143,1.0,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571,1.0,0.9642857142857143
AST,1.0,0.48148148148148145,0.9259259259259259,1.0,1.0,1.0,0.9629629629629629,1.0,0.9629629629629629,1.0,0.8518518518518519,0.9629629629629629
PHI,1.0,0.9629629629629629,1.0,1.0,1.0,1.0,0.9629629629629629,1.0,1.0,0.9629629629629629,1.0,0.7407407407407407
SAV,1.0,0.7692307692307693,1.0,1.0,1.0,1.0,1.0,0.6923076923076923,1.0,1.0,0.9615384615384616,0.9230769230769231
UOV,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ITT,0.7727272727272727,1.0,0.8181818181818182,0.45454545454545453,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0
MTT,0.9523809523809523,1.0,1.0,0.9523809523809523,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523
ITG,0.9047619047619048,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CON,0.7,1.0,1.0,0.3,0.85,1.0,1.0,1.0,1.0,0.85,0.9,0.65
NSI,0.45,1.0,1.0,1.0,0.95,1.0,0.95,1.0,1.0,1.0,0.55,1.0
ERI,0.6111111111111112,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0,0.6111111111111112
MTN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411765,0.8823529411764706,0.7647058823529411,1.0,0.7647058823529411
MRE,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286
AFR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SWY,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0
LAU,1.0,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DDR,0.6153846153846154,1.0,1.0,0.6923076923076923,1.0,1.0,1.0,1.0,1.0,1.0,0.7692307692307693,0.9230769230769231
AFX,1.0,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666
UFI,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9090909090909091,0.5454545454545454
ISV,1.0,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818182
ANA,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.9,1.0
