zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
TON,0.9090909090909091,1.0,0.9393939393939394,0.9696969696969697,1.0,1.0,1.0,0.9090909090909091,0.8484848484848485,1.0,0.9090909090909091,0.8484848484848485
ITE,0.4,1.0,1.0,0.9333333333333333,0.6666666666666666,1.0,0.36666666666666664,1.0,1.0,1.0,0.6,0.7333333333333333
NON,1.0,1.0,1.0,1.0,1.0,0.9310344827586207,1.0,0.9655172413793104,1.0,0.9655172413793104,0.7586206896551724,0.8620689655172413
MOR,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,0.8928571428571429,1.0,1.0,1.0,1.0,0.8928571428571429
AST,1.0,0.9259259259259259,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629629,0.8888888888888888,0.9259259259259259,0.8888888888888888
PHI,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,0.7037037037037037,1.0,1.0,1.0,1.0,0.6666666666666666,0.6296296296296297
SAV,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.9615384615384616,0.9230769230769231
UOV,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.4583333333333333,1.0,0.9583333333333334,0.9166666666666666,1.0,0.5
ITT,0.7727272727272727,1.0,0.8181818181818182,0.45454545454545453,1.0,1.0,0.18181818181818182,1.0,1.0,1.0,1.0,0.09090909090909091
MTT,0.7142857142857143,1.0,0.8095238095238095,0.7619047619047619,0.8095238095238095,1.0,0.5238095238095238,1.0,0.7619047619047619,0.7619047619047619,0.9523809523809523,0.8571428571428571
ITG,1.0,1.0,1.0,0.38095238095238093,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0
CON,0.65,1.0,1.0,0.8,0.85,1.0,1.0,1.0,0.3,0.65,0.95,0.65
NSI,0.15,1.0,1.0,1.0,0.95,1.0,0.95,1.0,1.0,0.95,0.0,1.0
ERI,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.7777777777777778
MTN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411765,0.8823529411764706,0.35294117647058826,1.0,0.29411764705882354
MRE,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,0.9285714285714286,0.9285714285714286,1.0,0.7142857142857143,0.9285714285714286,1.0,0.5
AFR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9285714285714286
SWY,1.0,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,0.23076923076923078
LAU,0.38461538461538464,0.5384615384615384,0.38461538461538464,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.5384615384615384,1.0
DDR,0.7692307692307693,1.0,1.0,0.8461538461538461,0.46153846153846156,1.0,0.38461538461538464,1.0,0.38461538461538464,0.3076923076923077,0.6923076923076923,1.0
AFX,0.9166666666666666,0.3333333333333333,0.25,0.25,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.75
UFI,0.0,1.0,1.0,1.0,0.6363636363636364,1.0,0.0,1.0,0.0,0.0,0.09090909090909091,0.09090909090909091
ISV,1.0,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,1.0,0.5454545454545454,1.0
ANA,0.7,1.0,1.0,1.0,0.9,1.0,0.8,1.0,0.6,0.7,0.8,0.9
CLO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.0,0.6,1.0
OFF,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5555555555555556
STI,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,0.3333333333333333
CTH,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556
SFS,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.125
AWO,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.625
